Cause,Effect
V0,V66
V0,V98
V1,V30
V1,V90
V1,V94
V2,V12
V2,V24
V2,V81
V3,V36
V3,V46
V3,V62
V3,V92
V4,V38
V6,V94
V7,V16
V7,V53
V7,V60
V7,V78
V7,V81
V8,V11
V8,V23
V8,V40
V8,V73
V8,V87
V9,V12
V10,V21
V10,V52
V11,V9
V11,V96
V12,V20
V12,V80
V13,V4
V14,V42
V14,V70
V15,V11
V15,V47
V15,V63
V16,V14
V16,V28
V16,V58
V16,V89
V17,V16
V17,V55
V17,V75
V18,V26
V18,V70
V19,V2
V19,V18
V19,V50
V20,V0
V20,V16
V20,V80
V20,V97
V21,V62
V22,V89
V22,V94
V23,V41
V23,V86
V24,V72
V24,V95
V25,V27
V25,V58
V25,V66
V26,V37
V28,V92
V28,V99
V29,V12
V29,V21
V29,V50
V30,V27
V31,V17
V31,V29
V31,V97
V32,V25
V32,V41
V32,V47
V32,V85
V32,V86
V32,V99
V33,V72
V34,V58
V35,V6
V35,V26
V35,V60
V35,V98
V36,V9
V36,V22
V36,V79
V38,V17
V38,V19
V38,V31
V38,V39
V38,V86
V39,V50
V39,V90
V40,V17
V40,V36
V40,V50
V40,V82
V40,V88
V41,V51
V41,V81
V42,V45
V42,V59
V42,V72
V42,V73
V42,V85
V43,V65
V44,V14
V44,V58
V45,V80
V45,V84
V46,V45
V46,V58
V47,V39
V48,V95
V49,V6
V51,V20
V51,V31
V52,V36
V53,V30
V53,V31
V53,V98
V54,V36
V54,V59
V54,V87
V55,V60
V55,V61
V55,V94
V56,V31
V56,V94
V56,V95
V57,V17
V57,V31
V57,V60
V58,V7
V58,V38
V58,V91
V58,V92
V59,V14
V59,V19
V59,V49
V59,V82
V59,V92
V60,V3
V60,V12
V61,V19
V61,V91
V62,V40
V63,V17
V63,V26
V63,V59
V63,V99
V64,V9
V64,V18
V64,V65
V64,V80
V65,V13
V65,V98
V66,V6
V66,V25
V66,V32
V66,V45
V66,V47
V67,V7
V68,V20
V68,V97
V69,V9
V69,V60
V70,V4
V70,V29
V71,V7
V71,V81
V71,V95
V72,V16
V72,V84
V73,V7
V73,V19
V73,V26
V74,V79
V74,V81
V75,V33
V76,V24
V76,V28
V76,V35
V76,V37
V76,V55
V77,V75
V77,V86
V77,V89
V77,V95
V78,V14
V78,V97
V79,V4
V79,V6
V79,V24
V79,V49
V79,V63
V80,V49
V81,V9
V81,V45
V81,V49
V82,V59
V82,V98
V83,V24
V83,V38
V84,V13
V84,V37
V84,V65
V86,V4
V86,V18
V86,V26
V86,V39
V86,V66
V87,V50
V88,V43
V88,V47
V89,V30
V90,V40
V91,V22
V92,V3
V92,V66
V92,V93
V93,V43
V93,V54
V93,V96
V94,V14
V94,V85
V95,V43
V95,V99
V96,V28
V96,V75
V97,V22
V97,V66
V97,V85
V97,V92
V99,V88
