Cause,Effect
V0,V2
V0,V21
V0,V30
V0,V58
V1,V15
V1,V40
V2,V86
V3,V9
V3,V56
V3,V91
V4,V23
V4,V35
V4,V59
V4,V71
V4,V78
V4,V82
V4,V85
V5,V29
V5,V87
V6,V0
V6,V13
V6,V50
V6,V51
V6,V86
V7,V24
V7,V46
V8,V0
V8,V9
V8,V27
V8,V63
V8,V85
V8,V97
V9,V8
V9,V36
V9,V40
V9,V46
V9,V79
V10,V52
V11,V1
V11,V16
V11,V33
V12,V1
V12,V37
V12,V38
V12,V95
V13,V5
V13,V21
V14,V36
V14,V55
V14,V78
V16,V67
V16,V72
V17,V2
V17,V62
V19,V51
V20,V38
V20,V65
V21,V78
V21,V94
V22,V1
V22,V13
V22,V64
V24,V31
V24,V37
V24,V76
V25,V10
V25,V47
V25,V57
V25,V61
V26,V38
V27,V31
V27,V59
V27,V67
V28,V55
V28,V82
V29,V77
V30,V65
V30,V86
V31,V52
V32,V64
V32,V77
V32,V92
V33,V4
V33,V14
V33,V92
V34,V30
V34,V36
V35,V40
V35,V58
V36,V8
V36,V61
V36,V82
V37,V4
V37,V30
V37,V81
V38,V29
V38,V97
V39,V36
V39,V78
V40,V1
V40,V61
V40,V66
V40,V67
V40,V75
V40,V94
V41,V19
V41,V24
V42,V80
V43,V18
V43,V37
V44,V10
V44,V15
V45,V1
V45,V27
V45,V72
V46,V21
V47,V15
V47,V17
V47,V26
V47,V27
V47,V67
V48,V28
V48,V55
V48,V97
V49,V19
V49,V37
V49,V93
V50,V16
V51,V9
V51,V40
V51,V75
V51,V91
V52,V5
V52,V99
V53,V16
V53,V24
V53,V25
V53,V79
V53,V81
V53,V91
V54,V17
V55,V3
V55,V71
V55,V79
V55,V80
V56,V6
V57,V13
V57,V43
V57,V59
V58,V49
V58,V52
V58,V64
V58,V80
V59,V57
V59,V97
V60,V45
V61,V0
V61,V79
V62,V66
V62,V76
V63,V35
V63,V64
V63,V98
V64,V37
V64,V50
V64,V71
V65,V12
V65,V47
V66,V17
V66,V21
V66,V81
V67,V30
V67,V96
V68,V15
V68,V16
V68,V40
V68,V86
V69,V16
V69,V31
V69,V61
V69,V80
V70,V4
V70,V24
V70,V27
V71,V9
V71,V15
V72,V12
V72,V79
V72,V82
V73,V49
V73,V62
V74,V38
V74,V98
V75,V19
V75,V95
V76,V84
V77,V98
V78,V31
V78,V35
V78,V51
V78,V54
V78,V97
V80,V28
V80,V41
V80,V61
V80,V66
V80,V75
V81,V8
V82,V83
V83,V92
V84,V26
V84,V76
V84,V83
V85,V51
V85,V64
V85,V84
V86,V13
V87,V17
V87,V28
V87,V47
V87,V55
V87,V65
V88,V14
V88,V17
V88,V25
V88,V78
V89,V11
V89,V30
V90,V95
V90,V98
V91,V29
V91,V65
V92,V6
V92,V13
V92,V14
V92,V23
V92,V57
V93,V46
V93,V50
V94,V9
V94,V55
V94,V93
V95,V4
V96,V0
V96,V12
V96,V25
V96,V81
V96,V91
V97,V47
V98,V20
V98,V21
V98,V72
