Cause,Effect
V0,V2
V0,V4
V0,V9
V0,V11
V0,V15
V1,V2
V1,V4
V1,V12
V1,V15
V2,V4
V2,V13
V2,V14
V3,V5
V3,V6
V3,V18
V4,V6
V4,V9
V4,V19
V5,V0
V5,V2
V5,V12
V5,V18
V6,V0
V6,V2
V6,V4
V6,V5
V6,V8
V6,V16
V7,V0
V7,V2
V7,V5
V7,V6
V7,V9
V7,V18
V7,V19
V8,V2
V8,V3
V8,V14
V8,V15
V8,V16
V8,V17
V8,V18
V9,V1
V9,V10
V9,V11
V9,V13
V9,V14
V9,V19
V10,V0
V10,V4
V10,V7
V10,V14
V10,V18
V11,V1
V11,V5
V11,V8
V11,V14
V12,V5
V12,V8
V12,V9
V12,V19
V13,V8
V13,V11
V13,V15
V13,V17
V13,V18
V13,V19
V14,V13
V15,V6
V15,V13
V15,V14
V15,V18
V15,V19
V16,V11
V16,V15
V17,V2
V17,V5
V17,V14
V18,V5
V18,V11
V18,V12
V18,V15
V18,V17
V18,V19
V19,V5
V19,V11
V19,V13
V19,V14
