V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
-8.156407269040619e+24,6.105201759024146e+22,-5.576125099783174e+23,-4.822595235633326e+24,3.6882218478506457e+24,1.9892417425764395e+23,-1.6894351699794068e+24,8.003852256866886e+24,21.96039578550321,7.643023027817853e+23,6.651916030670162e+24,-6.948251467057563e+22,-1.2972028081897417e+24,-1.3486876879317218e+25,5.813532164873633e+24,9.645395190051885e+24,-1.542304276050467e+23,-5.237189623740369e+23,-3.8670236228966136e+24,8.758616947683468e+23
6.852026702370352e+24,-5.227865053383422e+22,5.444770457069346e+23,-4.1307414903859416e+24,4.5456117504849116e+23,-3.595234144639238e+22,-2.8506191362901107e+23,3.410880225585619e+24,15.255995854885112,-3.790225768340045e+23,-5.952073794795755e+24,-6.108812744292687e+23,-1.4153616619195047e+23,-6.33932581445284e+24,3.5114497931304273e+24,-5.523843169797558e+24,-1.0031042181818129e+23,3.579358644097999e+23,3.458734311956475e+24,9.52004880390015e+22
1.1479881988341109e+25,-8.507649917179774e+22,7.193712503831538e+23,1.3830434575728595e+25,-8.249281569725504e+24,-3.928757673953581e+23,3.844828794353188e+24,-1.998870190884983e+25,28.187902202482995,-1.3021541451442925e+24,-9.049096738308297e+24,6.738565278560528e+23,2.8856096803454474e+24,3.419134540363237e+25,-1.5408636851501984e+25,-1.5795516051685468e+25,4.149414637662359e+23,8.077249323579534e+23,5.261842411799524e+24,-1.9480291702804633e+24
-1.4010435775530024e+25,1.0538582654494868e+23,-9.974088946622141e+23,-4.024240999409564e+24,4.48565358500063e+24,2.7341408192182583e+23,-2.014702941929982e+24,8.472199349169156e+24,13.025636049765295,1.1759126997917887e+24,1.1615606755343933e+25,2.290636177019352e+23,-1.5872192526640916e+24,-1.396795624676498e+25,5.615415604128842e+24,1.5225438304718683e+25,-1.4525049040602748e+23,-8.568984478768257e+23,-6.751863348982331e+24,1.0718679754765905e+24
-4.1375046477719145e+24,3.1240469697770633e+22,-3.036401859279174e+23,-2.103523879505584e+23,8.99972213582481e+23,6.506499764875495e+22,-3.91243170772823e+23,1.2904903865242561e+24,2.142044424411763,3.158211220286281e+23,3.473777926636781e+24,1.4764700976481539e+23,-3.215456001369948e+23,-2.0128034916468031e+24,6.547692769563052e+23,4.1880203058778654e+24,-1.5415904483117812e+22,-2.4325013330152394e+23,-2.0190510248400287e+24,2.1720458579675326e+23
-3.6456614802042806e+24,2.8152517475862244e+22,-3.1559959174000944e+23,4.985539910162957e+24,-1.4523937473268498e+24,-2.555924395162334e+22,7.323543717350495e+23,-5.267826692291854e+24,-19.295500674101085,1.1203587588134762e+23,3.2908350681103057e+24,5.530463537394127e+23,4.9482219138291875e+23,9.393071600741783e+24,-4.7286732630307055e+24,2.0602755422947626e+24,1.3169271358221649e+23,-1.6249334359054557e+23,-1.9118339009305188e+24,-3.337828575558187e+23
-4.732590641470532e+24,3.5832150693721538e+22,-3.548724947995058e+23,5.729466778450923e+23,6.761390003189695e+23,6.1381798598566964e+22,-2.7805251267773773e+23,4.683913493247853e+23,-4.8544060717567605,3.350893495555859e+23,4.0095886487743084e+24,2.3542698361537846e+23,-2.4536450092869687e+23,-5.454190923096118e+23,-8.580655879648946e+22,4.5339345715152994e+24,5.223652643764078e+21,-2.7007987680947896e+23,-2.3303389122169055e+24,1.6581812925563127e+23
-1.8451017710885702e+24,1.37250085764735e+22,-1.1954548225627946e+23,-1.8005795801079618e+24,1.142480318655077e+24,5.637515222891879e+22,-5.299918513470636e+23,2.6895812358859665e+24,42.044431717792925,1.9571121049751342e+23,1.473198763648757e+24,-7.376241526192856e+22,-4.002368059917534e+23,-4.5834034669851986e+24,2.0432330012817481e+24,2.405615040503521e+24,-5.482646513976765e+22,-1.2558752987287997e+23,-8.565542594722834e+23,2.7020537466632683e+23
-6.777314345686082e+24,5.145712335274529e+22,-5.192261685604957e+23,2.0074150000623556e+24,4.528607495841177e+23,6.887540331354806e+22,-1.5095052808671391e+23,-7.994231181430219e+23,7.954809323223565,4.417060125836339e+23,5.794732402395777e+24,4.34227761608902e+23,-1.727593491076594e+23,1.7821149043483977e+24,-1.3407289255169038e+24,6.118702002363029e+24,4.082721902855967e+22,-3.748688467192425e+23,-3.367647799360095e+24,1.1691316647637695e+23
6.240736352706521e+24,-4.699126745027471e+22,4.4802432440360297e+23,1.3897032676168212e+24,-1.8231416632173473e+24,-1.1533070417907231e+23,8.135091388221164e+23,-3.274843239386317e+24,12.04232998684444,-5.1084152595087265e+23,-5.19191403722803e+24,-1.3498257035348595e+23,6.463820447251381e+23,5.35188885433479e+24,-2.0879725945686668e+24,-6.654964995321664e+24,5.338201161770249e+22,3.776538304945866e+23,3.0178606241409624e+24,-4.36534593138722e+23
