Cause,Effect
V4,V9
V2,V10
V0,V11
V1,V11
V3,V11
V6,V11
V7,V11
V9,V12
V4,V12
V5,V12
V5,V13
V6,V13
V11,V14
V3,V15
V6,V15
V7,V15
V2,V16
V5,V16
V0,V17
V1,V17
V5,V17
V6,V17
V0,V18
V9,V18
V2,V18
V8,V18
V16,V19
V17,V19
V4,V19
V7,V19
V2,V20
V4,V20
V6,V20
V13,V21
V4,V22
V5,V22
V7,V22
V10,V22
V17,V22
V16,V23
V20,V23
V18,V24
V3,V24
V12,V24
V1,V25
V3,V25
V6,V25
V15,V25
V23,V25
V3,V26
V20,V26
V13,V26
V6,V26
V8,V27
V11,V27
V13,V27
V22,V28
V17,V29
V6,V29
V23,V29
V25,V30
V19,V30
V12,V30
V7,V30
V16,V31
V15,V31
V17,V32
V12,V32
V22,V32
V19,V33
V21,V33
V23,V33
V29,V34
V5,V34
V24,V35
V32,V35
V0,V36
V33,V36
V6,V36
V18,V36
V19,V36
V17,V37
V28,V37
V23,V37
V3,V38
V5,V38
V15,V38
V32,V39
V26,V39
V4,V39
V28,V39
V32,V40
V16,V40
V26,V40
V34,V40
V33,V41
V11,V41
V21,V41
V30,V41
V31,V41
V0,V42
V16,V42
V30,V42
V31,V42
V28,V43
V37,V43
V22,V43
V15,V43
V0,V44
V36,V44
V37,V45
V15,V45
V12,V46
V16,V46
V18,V46
V20,V46
V30,V46
V33,V47
V18,V47
V35,V47
V1,V48
V0,V49
V32,V49
V26,V49
V46,V49
V40,V50
V16,V50
V4,V50
V2,V51
V18,V51
V37,V51
V7,V51
V2,V52
V6,V52
V10,V52
V13,V52
V50,V52
V27,V53
V33,V54
V36,V54
V23,V54
V6,V55
V24,V56
V3,V56
V46,V56
V41,V57
V14,V57
V51,V57
V20,V57
V30,V57
V36,V58
V51,V58
V21,V58
V55,V58
V27,V58
V19,V59
V31,V59
V52,V60
V53,V60
V44,V61
V16,V61
V51,V61
V53,V61
V30,V61
V33,V62
V18,V62
V37,V62
V39,V62
V29,V63
V12,V63
V53,V63
V44,V63
V1,V64
V44,V64
V10,V65
V19,V65
V44,V65
V29,V65
V9,V66
V25,V67
V34,V68
V2,V69
V36,V69
V21,V69
V52,V69
V8,V70
V47,V70
V51,V70
V54,V70
V61,V70
V59,V71
V47,V71
V65,V72
V57,V72
V19,V73
V51,V73
V72,V74
V57,V74
V27,V74
V63,V74
V3,V75
V35,V75
V14,V75
V18,V75
V24,V75
V31,V76
V36,V76
V4,V76
V55,V76
V41,V77
V16,V77
V52,V77
V21,V77
V27,V77
V33,V78
V73,V78
V42,V78
V12,V78
V58,V78
V67,V79
V5,V79
V72,V79
V9,V79
V48,V79
V34,V80
V53,V80
V47,V80
V3,V81
V11,V81
V27,V81
V67,V82
V77,V82
V15,V82
V11,V83
V33,V83
V51,V83
V68,V83
V17,V84
V9,V85
V61,V85
V60,V85
V28,V85
V2,V86
V35,V86
V12,V86
V7,V86
V0,V87
V76,V87
V54,V87
V16,V88
V49,V88
V40,V89
V83,V89
V38,V89
V73,V90
V43,V90
V52,V90
V39,V90
V67,V91
V39,V91
V9,V91
V21,V91
V55,V91
V69,V92
V30,V92
V31,V92
V39,V93
V46,V94
V27,V95
V75,V95
V7,V95
V41,V96
V66,V96
V90,V96
V53,V96
V59,V97
V51,V97
V64,V98
V50,V98
V41,V99
