Cause,Effect
V0,V1
V0,V5
V0,V6
V0,V12
V0,V14
V1,V6
V1,V7
V1,V8
V1,V10
V1,V13
V1,V16
V2,V4
V2,V5
V2,V12
V2,V14
V2,V15
V2,V18
V3,V6
V3,V15
V3,V16
V4,V0
V4,V18
V5,V3
V5,V10
V5,V15
V5,V18
V6,V9
V6,V18
V7,V1
V7,V2
V7,V5
V7,V12
V7,V14
V8,V1
V8,V3
V8,V6
V8,V19
V9,V5
V9,V7
V9,V8
V9,V12
V9,V18
V10,V2
V10,V9
V10,V15
V10,V19
V11,V1
V11,V7
V11,V12
V11,V18
V12,V2
V12,V3
V12,V7
V12,V8
V12,V19
V13,V2
V13,V10
V14,V0
V14,V7
V14,V16
V15,V1
V15,V2
V15,V5
V15,V17
V16,V1
V16,V2
V16,V7
V16,V12
V17,V10
V18,V1
V18,V12
V18,V13
V19,V2
V19,V7
V19,V9
V19,V14
V19,V18
