Cause,Effect
V0,V2
V0,V3
V1,V4
V0,V5
V1,V5
V2,V5
V2,V6
V4,V6
V0,V7
V1,V7
V0,V8
V1,V8
V2,V8
V1,V9
V3,V9
V1,V10
V9,V11
V4,V11
V0,V12
V1,V12
V4,V13
V10,V14
V2,V14
V5,V14
V6,V14
V12,V15
V5,V15
V7,V15
V0,V16
V8,V16
V10,V16
V14,V16
V6,V17
V7,V17
V6,V18
V9,V19
V6,V19
V8,V20
V9,V20
V11,V20
V12,V20
V17,V21
V5,V21
V15,V21
V1,V22
V2,V22
V17,V22
V7,V22
V16,V23
V20,V23
V14,V23
V7,V23
V0,V24
V11,V24
V12,V24
V16,V25
V7,V25
V18,V26
V11,V27
V16,V28
V1,V28
V12,V28
V17,V28
V5,V29
V9,V29
V10,V29
V18,V29
V19,V29
V1,V30
V2,V30
V4,V30
V5,V30
V9,V30
V25,V31
V2,V32
V9,V32
V12,V32
V22,V32
V26,V32
V16,V33
V23,V33
V25,V34
V19,V34
V9,V34
V27,V35
V29,V35
V0,V36
V25,V36
V3,V36
V12,V36
V0,V37
V34,V37
V15,V37
V8,V38
V33,V38
V10,V38
V16,V38
V2,V39
V14,V39
V36,V40
V28,V40
V3,V41
V29,V41
V11,V42
V17,V42
V22,V42
V26,V42
V31,V42
V0,V43
V8,V43
V38,V43
V9,V43
V39,V44
V8,V44
V10,V44
V19,V44
V20,V44
V21,V45
V3,V46
V4,V46
V37,V46
V6,V46
V22,V47
V14,V47
V23,V47
V25,V48
V2,V49
V35,V49
V0,V50
V1,V50
V34,V50
V44,V50
V23,V50
V1,V51
V10,V51
V45,V51
V46,V51
V30,V51
V5,V52
V22,V52
V23,V52
V41,V53
V10,V53
V31,V53
V47,V53
V14,V54
V9,V55
V2,V55
V5,V55
V45,V55
V14,V56
V16,V57
V5,V57
V2,V58
V28,V58
V3,V59
V43,V59
V19,V59
V12,V59
V41,V60
V33,V60
V47,V60
V21,V61
V37,V61
V23,V61
V29,V62
V32,V63
V16,V63
V56,V63
V20,V63
V61,V64
V17,V64
V27,V64
V5,V64
V24,V65
V41,V65
V57,V66
V47,V67
V35,V67
V53,V67
V55,V67
V25,V68
V10,V68
V9,V69
V20,V69
V12,V69
V38,V69
V45,V70
V8,V71
V24,V71
V58,V71
V29,V71
V25,V72
V59,V72
V45,V73
V69,V74
V46,V74
V15,V74
V72,V75
V16,V75
V65,V76
V25,V76
V43,V76
V39,V76
V19,V77
V33,V77
V27,V77
V20,V77
V32,V78
V57,V78
V50,V78
V30,V78
V34,V79
V33,V80
V68,V80
V23,V80
V25,V80
V59,V80
V51,V81
V36,V82
V5,V82
V70,V82
V10,V82
V74,V82
V24,V83
V56,V84
V1,V84
V76,V84
V17,V84
V26,V85
V76,V85
V34,V86
V54,V86
V59,V87
V43,V87
V20,V87
V68,V87
V57,V88
V31,V88
V17,V89
V42,V89
V11,V89
V55,V89
V11,V90
V44,V90
V14,V90
V31,V90
V59,V91
V12,V91
V5,V91
V80,V92
V25,V92
V88,V93
V0,V93
V14,V94
V67,V95
V13,V95
V49,V95
V24,V95
V90,V95
V62,V96
V76,V96
V46,V96
V82,V97
V88,V97
V25,V97
V91,V97
V28,V97
V56,V98
V18,V98
V79,V98
V32,V99
V17,V99
V18,V99
V23,V99
