Cause,Effect
V0,V71
V1,V6
V1,V23
V2,V41
V2,V53
V2,V74
V2,V98
V3,V33
V3,V75
V4,V1
V4,V19
V4,V70
V5,V19
V5,V83
V5,V84
V5,V88
V6,V68
V6,V99
V7,V16
V7,V21
V7,V48
V8,V25
V9,V33
V9,V53
V9,V67
V9,V91
V10,V2
V10,V5
V10,V24
V10,V43
V11,V9
V11,V43
V11,V47
V11,V66
V12,V53
V12,V71
V12,V77
V13,V33
V13,V61
V14,V3
V14,V19
V14,V29
V14,V59
V15,V66
V15,V82
V15,V88
V16,V1
V16,V23
V16,V47
V17,V20
V17,V24
V17,V42
V17,V52
V18,V33
V19,V4
V19,V41
V20,V5
V20,V19
V20,V29
V20,V48
V20,V89
V21,V14
V21,V45
V21,V48
V23,V9
V23,V11
V23,V19
V24,V34
V24,V64
V25,V20
V25,V68
V25,V73
V25,V84
V26,V1
V26,V4
V26,V64
V27,V13
V27,V46
V27,V49
V27,V53
V28,V36
V28,V94
V29,V87
V30,V25
V30,V89
V31,V32
V31,V63
V31,V78
V32,V17
V32,V51
V32,V86
V33,V12
V33,V79
V33,V90
V33,V94
V34,V12
V35,V21
V35,V95
V35,V96
V36,V51
V36,V61
V37,V5
V37,V57
V37,V65
V37,V67
V37,V78
V37,V91
V37,V94
V38,V11
V38,V31
V38,V78
V40,V5
V40,V21
V40,V29
V40,V42
V40,V55
V42,V36
V43,V14
V43,V16
V43,V25
V43,V45
V43,V67
V43,V95
V45,V13
V45,V72
V45,V79
V46,V39
V47,V28
V47,V31
V47,V67
V47,V72
V48,V20
V48,V41
V48,V49
V48,V68
V49,V12
V49,V32
V49,V99
V50,V32
V51,V7
V51,V63
V51,V64
V52,V0
V52,V21
V52,V45
V52,V59
V52,V89
V53,V23
V53,V25
V53,V49
V53,V71
V53,V78
V53,V87
V54,V9
V54,V44
V54,V78
V54,V84
V54,V85
V55,V18
V55,V36
V55,V42
V56,V16
V56,V18
V56,V89
V56,V90
V57,V49
V57,V99
V58,V93
V59,V7
V59,V36
V59,V62
V59,V83
V60,V54
V60,V75
V61,V33
V61,V60
V61,V79
V61,V82
V62,V21
V62,V45
V62,V50
V62,V63
V62,V96
V63,V46
V63,V62
V63,V93
V64,V30
V64,V68
V65,V31
V65,V34
V66,V23
V66,V55
V66,V72
V66,V94
V67,V1
V67,V31
V67,V55
V67,V70
V68,V46
V68,V87
V68,V99
V69,V6
V69,V20
V69,V68
V69,V95
V70,V67
V70,V96
V72,V49
V72,V84
V72,V90
V74,V34
V74,V94
V75,V71
V75,V73
V76,V65
V77,V27
V77,V38
V77,V65
V78,V6
V78,V59
V79,V24
V79,V26
V79,V88
V80,V4
V80,V54
V80,V74
V81,V38
V81,V46
V82,V48
V82,V63
V83,V27
V83,V30
V84,V13
V84,V47
V84,V73
V84,V90
V85,V34
V85,V89
V86,V45
V86,V51
V87,V58
V87,V76
V87,V99
V88,V42
V88,V57
V89,V8
V90,V88
V91,V55
V92,V23
V92,V52
V92,V55
V93,V38
V93,V59
V95,V75
V96,V2
V96,V11
V96,V51
V96,V64
V96,V82
V97,V2
V97,V54
V98,V18
V98,V24
V98,V62
V98,V64
V99,V31
V99,V42
V99,V57
V99,V72
V99,V83
V99,V90
