graph,activation_function,learning_rate,type_regul,regul,asymmetry,shortcut,dropout,asymfactor,batchnorm,n_h,use_dif,method,train,test,runs,Wtype,AUPR
G5_multadd_cycle_n20_v12_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.4375368181453592
G5_multadd_cycle_n20_v12_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3437437552251149
G5_multadd_cycle_n20_v12_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.3594671238820585
G5_multadd_cycle_n20_v18_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.4160881461135543
G5_multadd_cycle_n20_v18_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3447659864769037
G5_multadd_cycle_n20_v18_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.3943119426994557
G5_multadd_cycle_n20_v2_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.4688492977315866
G5_multadd_cycle_n20_v2_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.5028694928219035
G5_multadd_cycle_n20_v2_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.5182273212602245
G5_multadd_cycle_n20_v13_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.3827510610957626
G5_multadd_cycle_n20_v13_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.34709046029960644
G5_multadd_cycle_n20_v13_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.3402321756949233
G5_multadd_cycle_n20_v6_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.3933333804064766
G5_multadd_cycle_n20_v6_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.30612272048805955
G5_multadd_cycle_n20_v6_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.35972603184647767
G5_multadd_cycle_n20_v11_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.47389950207092146
G5_multadd_cycle_n20_v11_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.42417316985263365
G5_multadd_cycle_n20_v11_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.4925398380830334
G5_multadd_cycle_n20_v14_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.5634797841599852
G5_multadd_cycle_n20_v14_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.5374160523197841
G5_multadd_cycle_n20_v14_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.5304381997476418
G5_multadd_cycle_n20_v9_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.4464904395041818
G5_multadd_cycle_n20_v9_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.4268332773092423
G5_multadd_cycle_n20_v9_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.36844535069310713
G5_multadd_cycle_n20_v8_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.49397153904973506
G5_multadd_cycle_n20_v8_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,diff,0.3932247312300687
G5_multadd_cycle_n20_v8_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,max,0.45407090544177364
G5_multadd_cycle_n20_v10_.csv,<class 'torch.nn.modules.activation.Tanh'>,0.1,l1,1,0.0,False,0,None,False,200,True,fsre,1000,1000,12,raw,0.5906786923273266
