Cause,Effect
V0,V15
V0,V37
V0,V43
V1,V22
V1,V23
V1,V50
V1,V52
V1,V63
V1,V69
V1,V76
V2,V6
V2,V36
V2,V66
V2,V67
V2,V97
V3,V52
V3,V95
V5,V12
V5,V13
V5,V18
V5,V19
V5,V73
V5,V91
V6,V69
V6,V91
V7,V1
V7,V82
V8,V54
V8,V73
V8,V92
V9,V91
V10,V12
V10,V34
V10,V68
V10,V69
V11,V0
V11,V14
V11,V71
V11,V73
V11,V93
V12,V3
V12,V71
V12,V88
V13,V85
V14,V12
V14,V28
V14,V37
V14,V76
V15,V56
V16,V89
V19,V51
V20,V3
V20,V15
V22,V52
V22,V65
V22,V93
V23,V58
V23,V74
V23,V84
V23,V89
V24,V16
V24,V69
V25,V1
V25,V3
V25,V20
V25,V58
V26,V2
V26,V86
V26,V90
V26,V93
V27,V9
V27,V54
V28,V18
V29,V8
V29,V30
V29,V84
V32,V66
V32,V99
V34,V90
V34,V96
V35,V38
V35,V48
V35,V51
V36,V13
V36,V29
V37,V65
V37,V89
V38,V22
V38,V48
V38,V97
V39,V6
V39,V28
V39,V32
V40,V16
V40,V32
V40,V56
V41,V24
V41,V51
V41,V90
V42,V28
V42,V84
V43,V97
V44,V13
V44,V16
V44,V77
V45,V34
V45,V78
V45,V91
V46,V12
V47,V8
V47,V28
V47,V46
V47,V85
V49,V52
V49,V84
V50,V21
V50,V92
V51,V36
V51,V94
V52,V1
V53,V42
V53,V94
V54,V13
V54,V16
V54,V58
V54,V84
V54,V86
V55,V94
V55,V95
V56,V9
V56,V50
V56,V72
V57,V0
V57,V43
V57,V51
V57,V80
V57,V88
V58,V16
V58,V77
V59,V43
V59,V48
V59,V62
V60,V40
V60,V73
V61,V28
V61,V69
V62,V10
V62,V46
V62,V73
V62,V80
V63,V42
V63,V76
V63,V96
V65,V1
V65,V26
V65,V46
V65,V76
V66,V14
V66,V21
V66,V58
V68,V7
V68,V37
V68,V85
V69,V51
V70,V40
V70,V92
V71,V97
V72,V5
V72,V9
V72,V67
V73,V31
V73,V95
V74,V12
V74,V22
V74,V43
V75,V40
V75,V59
V76,V15
V76,V38
V76,V83
V76,V85
V77,V23
V77,V29
V78,V19
V78,V74
V79,V54
V79,V68
V79,V89
V79,V92
V79,V95
V80,V5
V80,V71
V81,V8
V81,V37
V81,V42
V81,V80
V81,V94
V81,V95
V81,V96
V82,V9
V82,V64
V83,V85
V84,V14
V84,V18
V84,V35
V84,V86
V85,V50
V86,V10
V86,V82
V87,V88
V88,V52
V88,V66
V89,V25
V90,V13
V90,V71
V91,V23
V91,V58
V92,V48
V92,V82
V93,V8
V93,V86
V93,V96
V94,V40
V94,V48
V95,V1
V96,V3
V96,V83
V97,V19
V98,V46
V98,V66
V98,V80
V98,V81
V98,V90
V99,V3
V99,V46
V99,V56
