Cause,Effect
V0,V30
V0,V62
V0,V89
V1,V4
V2,V7
V2,V17
V3,V5
V3,V36
V3,V88
V4,V54
V5,V51
V6,V12
V6,V72
V7,V70
V8,V69
V8,V75
V8,V82
V8,V95
V9,V11
V10,V13
V10,V24
V11,V37
V12,V62
V12,V90
V13,V4
V13,V7
V13,V31
V13,V64
V13,V96
V14,V41
V14,V69
V14,V78
V14,V95
V14,V96
V15,V13
V15,V31
V15,V99
V16,V4
V16,V11
V16,V60
V16,V74
V17,V5
V17,V46
V18,V41
V18,V80
V19,V17
V19,V27
V19,V52
V19,V57
V19,V63
V19,V80
V20,V36
V21,V16
V21,V20
V21,V31
V21,V79
V22,V6
V22,V19
V22,V32
V22,V52
V22,V81
V23,V8
V23,V52
V25,V0
V25,V35
V25,V44
V25,V62
V25,V99
V26,V29
V26,V33
V26,V55
V26,V59
V27,V19
V27,V32
V27,V74
V27,V84
V28,V4
V28,V13
V28,V61
V29,V60
V29,V72
V29,V97
V30,V87
V31,V11
V31,V58
V32,V88
V32,V92
V33,V15
V33,V32
V34,V20
V34,V30
V34,V49
V34,V63
V34,V73
V35,V4
V35,V20
V35,V27
V35,V42
V35,V49
V35,V87
V35,V98
V36,V16
V36,V39
V36,V73
V36,V88
V37,V11
V37,V61
V37,V83
V38,V32
V38,V43
V38,V98
V39,V16
V39,V54
V39,V79
V39,V83
V39,V87
V40,V5
V40,V41
V40,V42
V41,V45
V41,V79
V41,V80
V42,V45
V43,V25
V43,V34
V44,V19
V45,V34
V45,V89
V47,V29
V47,V66
V47,V69
V47,V89
V48,V54
V48,V57
V50,V66
V50,V77
V51,V31
V51,V92
V52,V29
V52,V43
V52,V63
V54,V62
V54,V95
V56,V7
V56,V19
V56,V21
V56,V61
V56,V75
V57,V32
V57,V44
V57,V46
V57,V56
V57,V66
V57,V80
V57,V86
V58,V36
V58,V64
V59,V21
V59,V41
V59,V73
V59,V77
V59,V97
V60,V58
V61,V64
V61,V96
V62,V56
V63,V13
V63,V39
V63,V57
V63,V66
V64,V2
V64,V72
V64,V79
V65,V19
V66,V24
V66,V34
V66,V88
V68,V64
V68,V99
V69,V33
V69,V57
V70,V91
V70,V98
V71,V21
V71,V30
V71,V72
V72,V5
V72,V6
V72,V61
V73,V56
V73,V59
V74,V15
V76,V12
V76,V15
V76,V98
V77,V36
V77,V51
V77,V63
V78,V6
V78,V26
V78,V62
V78,V73
V79,V31
V79,V84
V80,V34
V80,V76
V81,V45
V81,V80
V81,V86
V82,V3
V82,V18
V82,V27
V82,V61
V82,V67
V82,V77
V83,V6
V84,V5
V84,V77
V84,V89
V84,V99
V85,V12
V88,V7
V88,V17
V88,V43
V88,V55
V89,V25
V89,V74
V89,V81
V89,V97
V90,V42
V91,V36
V91,V54
V91,V75
V91,V95
V92,V41
V92,V56
V92,V96
V93,V46
V93,V52
V93,V94
V94,V18
V94,V27
V96,V2
V96,V17
V96,V34
V96,V72
V97,V11
V97,V48
V97,V75
V97,V91
V98,V64
V98,V73
V98,V77
V99,V52
V99,V65
V99,V70
V99,V94
