Cause,Effect,Weight
pjnk,PIP2,0.001119505614042282
praf,pjnk,0.004000142216682434
praf,PIP2,0.006137289106845856
PKC,plcg,0.007338572293519974
PKC,praf,0.008842546492815018
PKC,pjnk,0.00917765498161316
praf,PKA,0.012821517884731293
PIP2,PKC,0.013537969440221786
pmek,PIP2,0.013753894716501236
PIP3,PKA,0.0140601247549057
P38,plcg,0.015515267848968506
pmek,plcg,0.01823587715625763
PIP3,P38,0.019069712609052658
P38,PIP2,0.02060018852353096
PKA,plcg,0.023525282740592957
PIP3,praf,0.024881280958652496
PIP3,PKC,0.027436088770627975
pmek,PKA,0.027460571378469467
pjnk,plcg,0.030973605811595917
P38,pjnk,0.03140312433242798
praf,plcg,0.03505992144346237
pjnk,PKA,0.036237046122550964
PKC,P38,0.03623893857002258
PIP2,PKA,0.0400141142308712
PKA,P38,0.04884413257241249
pmek,PKC,0.05251627415418625
PIP3,pmek,0.053312212228775024
PKA,PKC,0.05382886528968811
praf,P38,0.05512043088674545
PIP2,plcg,0.06266140937805176
p44/42,praf,0.06636281311511993
pakts473,pmek,0.06826741993427277
pmek,pjnk,0.07336057722568512
p44/42,pakts473,0.08178997039794922
pakts473,praf,0.09066075086593628
praf,pmek,0.0974201112985611
pakts473,PIP3,0.10122859477996826
p44/42,plcg,0.11300458759069443
pakts473,pjnk,0.11530815064907074
p44/42,PIP3,0.11964007467031479
PIP3,PIP2,0.12666794657707214
pmek,P38,0.12685009837150574
pakts473,PIP2,0.13862842321395874
p44/42,pmek,0.14879542589187622
PIP3,plcg,0.16205520927906036
p44/42,P38,0.16381622850894928
pakts473,plcg,0.16445347666740417
pakts473,PKC,0.16907310485839844
pakts473,P38,0.17902353405952454
p44/42,pjnk,0.18962129950523376
p44/42,PIP2,0.19157519936561584
PIP3,pjnk,0.23059329390525818
p44/42,PKC,0.24200934171676636
pakts473,PKA,0.2695978581905365
p44/42,PKA,0.3495567739009857
