Cause,Effect,Weight
PKC,plcg,0.03430887684226036
PIP2,PKC,0.04228413477540016
PKC,praf,0.04300777614116669
praf,pjnk,0.0431099496781826
P38,plcg,0.0434916615486145
praf,PIP2,0.04529101774096489
pjnk,PIP2,0.04556813836097717
pmek,plcg,0.0505899153649807
pmek,PIP2,0.05173151567578316
P38,PIP2,0.052790526300668716
PIP3,P38,0.053464800119400024
PKA,plcg,0.06045341119170189
praf,PKA,0.06092243269085884
praf,plcg,0.06426357477903366
pjnk,plcg,0.06861837953329086
PIP3,praf,0.07120152562856674
pmek,PKA,0.07257338613271713
PIP3,PKC,0.07586929202079773
PKA,PKC,0.07824087888002396
PIP3,PKA,0.07836396247148514
pmek,PKC,0.07867375761270523
PKA,P38,0.08127991110086441
PIP3,pmek,0.09120055288076401
p44/42,praf,0.09159210324287415
pakts473,pmek,0.09198185056447983
PIP2,PKA,0.0947948470711708
pjnk,PKA,0.10429485887289047
pakts473,praf,0.11355467885732651
pmek,pjnk,0.12562613189220428
praf,P38,0.13266202807426453
p44/42,plcg,0.13473398983478546
pakts473,pjnk,0.14168283343315125
pakts473,PIP3,0.15475793182849884
pakts473,PIP2,0.15646429359912872
pmek,P38,0.15885238349437714
p44/42,pmek,0.18037718534469604
pakts473,plcg,0.18395908176898956
p44/42,P38,0.1847148984670639
pakts473,PKC,0.18573379516601562
P38,pjnk,0.1867595762014389
PKC,pjnk,0.18733803927898407
pakts473,P38,0.196070596575737
p44/42,pjnk,0.21503381431102753
PIP2,plcg,0.21681059896945953
p44/42,PIP2,0.21958059072494507
p44/42,PIP3,0.24094253778457642
PIP3,plcg,0.24540890753269196
p44/42,PKC,0.25970664620399475
PIP3,pjnk,0.27534249424934387
PKC,P38,0.28452178835868835
PIP3,PIP2,0.2926900386810303
pakts473,PKA,0.33311209082603455
praf,pmek,0.33942529559135437
p44/42,PKA,0.4124203622341156
p44/42,pakts473,0.6462319493293762
