Cause,Effect,Weight
PKC,pakts473,0.01666068285703659
P38,pakts473,0.01704706996679306
PKC,p44/42,0.017697298899292946
PIP2,pakts473,0.017835872247815132
plcg,pakts473,0.019505608826875687
P38,p44/42,0.020898664370179176
plcg,p44/42,0.021729400381445885
praf,pakts473,0.02289392612874508
pmek,pakts473,0.023714428767561913
PKC,PKA,0.024412011727690697
praf,p44/42,0.025229288265109062
pjnk,p44/42,0.02541251666843891
PKC,pmek,0.026157483458518982
pjnk,pakts473,0.026374684646725655
plcg,PKC,0.026970304548740387
plcg,P38,0.027976393699645996
PIP2,p44/42,0.02800539694726467
PKC,PIP2,0.028746165335178375
plcg,praf,0.02920365519821644
pmek,p44/42,0.031581755727529526
P38,pmek,0.0320022888481617
PIP2,P38,0.032190337777137756
plcg,pmek,0.03235403820872307
P38,PKA,0.03243577852845192
praf,PKC,0.03416522964835167
PKC,plcg,0.03430887684226036
P38,PIP3,0.034395087510347366
plcg,PKA,0.03692812845110893
plcg,pjnk,0.037644773721694946
pmek,PIP3,0.03788834065198898
PIP2,pmek,0.03797762095928192
pjnk,praf,0.03910980746150017
PIP2,praf,0.039153728634119034
PIP2,PKC,0.04228413477540016
PKC,praf,0.04300777614116669
praf,pjnk,0.0431099496781826
P38,plcg,0.0434916615486145
PIP2,pjnk,0.04444863274693489
pjnk,PIP3,0.044749196618795395
PKA,pmek,0.045112814754247665
praf,PIP2,0.04529101774096489
pjnk,PIP2,0.04556813836097717
praf,PIP3,0.046320244669914246
PKA,praf,0.04810091480612755
PKC,PIP3,0.048433203250169754
pmek,plcg,0.0505899153649807
pmek,PIP2,0.05173151567578316
pjnk,pmek,0.052265558391809464
P38,PIP2,0.052790526300668716
PIP3,P38,0.053464800119400024
PIP3,pakts473,0.05352933332324028
PKA,PIP2,0.054780732840299606
PKA,plcg,0.06045341119170189
praf,PKA,0.06092243269085884
PKA,p44/42,0.06286358088254929
PKA,pakts473,0.06351424008607864
praf,plcg,0.06426357477903366
PKA,PIP3,0.06430383771657944
PKA,pjnk,0.06805781275033951
pjnk,plcg,0.06861837953329086
PIP3,praf,0.07120152562856674
pmek,PKA,0.07257338613271713
PIP3,PKC,0.07586929202079773
P38,praf,0.07754159718751907
PKA,PKC,0.07824087888002396
PIP3,PKA,0.07836396247148514
pmek,PKC,0.07867375761270523
PKA,P38,0.08127991110086441
plcg,PIP3,0.08335369825363159
PIP3,pmek,0.09120055288076401
p44/42,praf,0.09159210324287415
pakts473,pmek,0.09198185056447983
PIP2,PKA,0.0947948470711708
pjnk,PKA,0.10429485887289047
pakts473,praf,0.11355467885732651
PIP3,p44/42,0.12130246311426163
pmek,pjnk,0.12562613189220428
praf,P38,0.13266202807426453
p44/42,plcg,0.13473398983478546
pakts473,pjnk,0.14168283343315125
plcg,PIP2,0.15414918959140778
pakts473,PIP3,0.15475793182849884
pjnk,P38,0.15535645186901093
pakts473,PIP2,0.15646429359912872
pmek,P38,0.15885238349437714
PIP2,PIP3,0.16602209210395813
pjnk,PKC,0.1781603842973709
p44/42,pmek,0.18037718534469604
pakts473,plcg,0.18395908176898956
p44/42,P38,0.1847148984670639
pakts473,PKC,0.18573379516601562
P38,pjnk,0.1867595762014389
PKC,pjnk,0.18733803927898407
pakts473,P38,0.196070596575737
p44/42,pjnk,0.21503381431102753
PIP2,plcg,0.21681059896945953
p44/42,PIP2,0.21958059072494507
p44/42,PIP3,0.24094253778457642
pmek,praf,0.24200518429279327
PIP3,plcg,0.24540890753269196
P38,PKC,0.24828284978866577
p44/42,PKC,0.25970664620399475
PIP3,pjnk,0.27534249424934387
PKC,P38,0.28452178835868835
PIP3,PIP2,0.2926900386810303
pakts473,PKA,0.33311209082603455
praf,pmek,0.33942529559135437
p44/42,PKA,0.4124203622341156
pakts473,p44/42,0.564441978931427
p44/42,pakts473,0.6462319493293762
