Cause	Effect
"V0"	"V2"
"V0"	"V3"
"V0"	"V4"
"V3"	"V5"
"V1"	"V6"
"V2"	"V6"
"V4"	"V7"
"V5"	"V7"
"V0"	"V8"
"V3"	"V8"
"V4"	"V8"
"V2"	"V9"
"V4"	"V9"
"V7"	"V9"
"V0"	"V10"
"V4"	"V10"
"V5"	"V10"
"V7"	"V10"
"V8"	"V11"
"V1"	"V11"
"V2"	"V11"
"V6"	"V11"
"V9"	"V11"
"V9"	"V12"
"V2"	"V12"
"V0"	"V13"
"V1"	"V13"
"V2"	"V13"
"V6"	"V13"
"V7"	"V13"
"V11"	"V14"
"V8"	"V15"
"V11"	"V15"
"V3"	"V15"
"V13"	"V15"
"V8"	"V16"
"V5"	"V16"
"V7"	"V16"
"V0"	"V17"
"V3"	"V17"
"V12"	"V18"
"V14"	"V18"
"V8"	"V19"
"V10"	"V19"
"V4"	"V19"
"V12"	"V19"
"V13"	"V19"
"V2"	"V20"
"V1"	"V21"
"V13"	"V21"
"V17"	"V21"
"V7"	"V21"
