Cause,Effect,Weight
V13,V1,1.9157305359840393e-05
V9,V10,3.4281983971595764e-05
V4,V20,7.922574877738953e-05
V10,V16,8.296500891447067e-05
V5,V12,8.851662278175354e-05
V18,V7,0.00013983063399791718
V7,V6,0.00014291051775217056
V9,V0,0.00015568174421787262
V16,V13,0.0002478398382663727
V18,V14,0.0002636965364217758
V0,V1,0.000271000899374485
V11,V18,0.00027664192020893097
V7,V16,0.0002776840701699257
V14,V16,0.00030772481113672256
V14,V5,0.0003088405355811119
V12,V7,0.00034366361796855927
V14,V12,0.0003563985228538513
V5,V19,0.0003650914877653122
V16,V8,0.00039010774344205856
V17,V7,0.00040386244654655457
V10,V17,0.00040870532393455505
V5,V6,0.00041105132550001144
V18,V5,0.00042006466537714005
V15,V2,0.0004290705546736717
V20,V0,0.00045761838555336
V17,V15,0.00045964308083057404
V18,V16,0.00048030633479356766
V6,V9,0.0005128597840666771
V17,V13,0.0005245208740234375
V13,V4,0.0005303611978888512
V15,V20,0.0005473978817462921
V11,V6,0.0005484828725457191
V16,V5,0.0005507757887244225
V4,V2,0.0005915295332670212
V2,V3,0.000610589049756527
V20,V18,0.0006153006106615067
V9,V15,0.0006221774965524673
V20,V16,0.0006229765713214874
V14,V9,0.0006966963410377502
V2,V9,0.0007155677303671837
V14,V15,0.0007275547832250595
V8,V2,0.00073232501745224
V5,V8,0.0007456149905920029
V7,V20,0.0007753651589155197
V11,V14,0.0007769390940666199
V19,V11,0.0007892455905675888
V8,V12,0.0007915087044239044
V6,V1,0.0008055781945586205
V17,V8,0.000808381475508213
V12,V15,0.0008408799767494202
V7,V5,0.0008457768708467484
V19,V20,0.0008914405480027199
V12,V20,0.0008973479270935059
V5,V17,0.0009055072441697121
V6,V13,0.0009808102622628212
V18,V9,0.0010120905935764313
V15,V6,0.0010282602161169052
V12,V4,0.0011056438088417053
V16,V15,0.0011694720014929771
V11,V17,0.0011828793212771416
V19,V16,0.0011901026591658592
V15,V13,0.0012544440105557442
V6,V4,0.0012732548639178276
V16,V0,0.0012880684807896614
V7,V11,0.0013464903458952904
V19,V0,0.0013914145529270172
V18,V13,0.0014640819281339645
V19,V18,0.0015817256644368172
V10,V2,0.0016036834567785263
V20,V8,0.0016116797924041748
V19,V2,0.0016360394656658173
V14,V20,0.0017052795737981796
V2,V13,0.0017074327915906906
V16,V1,0.0017127366736531258
V6,V10,0.0017549162730574608
V13,V8,0.0017552338540554047
V8,V4,0.001769930124282837
V11,V15,0.0017983801662921906
V19,V10,0.0018093585968017578
V7,V13,0.001820337027311325
V16,V11,0.0019790809601545334
V12,V0,0.0020058024674654007
V18,V8,0.0020416080951690674
V19,V6,0.0020641544833779335
V18,V12,0.002085534855723381
V7,V15,0.0021468698978424072
V12,V1,0.0021680770441889763
V3,V6,0.0022392896935343742
V6,V8,0.0022605257108807564
V1,V15,0.002283630892634392
V7,V14,0.0023350082337856293
V5,V15,0.00234233308583498
V14,V6,0.0023672813549637794
V20,V1,0.0023809242993593216
V7,V8,0.0023987004533410072
V15,V4,0.0024043144658207893
V3,V15,0.0024603381752967834
V5,V0,0.0024757366627454758
V7,V10,0.002573849633336067
V14,V2,0.002574712038040161
V19,V9,0.0025956016033887863
V19,V12,0.0026053544133901596
