Cause,Effect,Weight
V10,V15,0.014208521693944931
V17,V18,0.016009725630283356
V15,V17,0.016110777854919434
V15,V14,0.01646878384053707
V10,V6,0.01650717854499817
V10,V18,0.016689931973814964
V18,V4,0.016874929890036583
V6,V18,0.01692250370979309
V6,V15,0.016995340585708618
V15,V18,0.017050238326191902
V15,V4,0.017251312732696533
V10,V12,0.017327964305877686
V10,V9,0.017354486510157585
V17,V6,0.017457948997616768
V10,V17,0.01747858338057995
V18,V14,0.017692258581519127
V6,V9,0.017749842256307602
V17,V12,0.01780523546040058
V10,V13,0.017943043261766434
V6,V12,0.01808280497789383
V14,V6,0.0181411225348711
V15,V0,0.018336737528443336
V6,V0,0.018369896337389946
V17,V5,0.018502429127693176
V10,V14,0.01912561058998108
V18,V0,0.019363613799214363
V4,V3,0.019382599741220474
V3,V2,0.01944153569638729
V10,V5,0.019511712715029716
V10,V2,0.01960221491754055
V10,V16,0.019712118431925774
V4,V9,0.019874896854162216
V11,V6,0.01990390755236149
V6,V16,0.019963575527071953
V14,V5,0.020013155415654182
V17,V3,0.020045533776283264
V0,V13,0.020052986219525337
V6,V3,0.02005479671061039
V10,V3,0.020165221765637398
V0,V2,0.020259900018572807
V14,V13,0.02031601034104824
V17,V13,0.020341791212558746
V17,V19,0.020362867042422295
V18,V16,0.020389705896377563
V13,V19,0.020460274070501328
V4,V13,0.02048046700656414
V18,V19,0.020694488659501076
V6,V13,0.020695017650723457
V9,V19,0.020739048719406128
V14,V12,0.020961299538612366
V7,V11,0.021078938618302345
V10,V1,0.021143227815628052
V14,V2,0.021197529509663582
V0,V12,0.021210340782999992
V18,V13,0.02124488539993763
V14,V11,0.021285371854901314
V15,V5,0.02129898965358734
V4,V12,0.021311484277248383
V0,V5,0.02132006548345089
V15,V11,0.021475696936249733
V14,V1,0.02159029059112072
V1,V11,0.021641092374920845
V10,V19,0.021677399054169655
V17,V11,0.021764321252703667
V6,V19,0.021778583526611328
V15,V19,0.021808205172419548
V10,V0,0.021868417039513588
V16,V11,0.021875182166695595
V10,V11,0.02190207876265049
V15,V13,0.021906355395913124
V0,V19,0.022145025432109833
V4,V1,0.022195642814040184
