Cause,Effect,Weight
V19,V8,0.01450835820287466
V14,V8,0.01480729877948761
V4,V8,0.014913818798959255
V12,V8,0.015141605399549007
V9,V18,0.015370246022939682
V15,V8,0.015600387938320637
V18,V8,0.015698550269007683
V2,V8,0.015730051323771477
V13,V8,0.015732837840914726
V0,V8,0.015844332054257393
V9,V8,0.0160386860370636
V8,V19,0.01661732979118824
V3,V8,0.01711885817348957
V15,V18,0.01731065846979618
V16,V8,0.017327439039945602
V6,V18,0.01733449101448059
V10,V8,0.017400594428181648
V8,V18,0.017505476251244545
V17,V8,0.017660150304436684
V12,V14,0.01789393462240696
V19,V18,0.017921146005392075
V7,V8,0.018106983974575996
V2,V18,0.01819024793803692
V15,V6,0.018328653648495674
V9,V13,0.018370242789387703
V7,V15,0.018449759110808372
V14,V19,0.018458249047398567
V16,V18,0.0184930432587862
V15,V1,0.018718861043453217
V3,V6,0.01893867924809456
V1,V18,0.018965749070048332
V5,V18,0.018976328894495964
V18,V19,0.0190030075609684
V1,V19,0.019039787352085114
V11,V19,0.01909853331744671
V9,V5,0.01913313940167427
V18,V2,0.0191962867975235
V18,V14,0.019197575747966766
V0,V18,0.019200468435883522
V12,V19,0.019246907904744148
V13,V15,0.019381335005164146
V5,V19,0.01941348984837532
V16,V19,0.019558072090148926
V11,V15,0.019590705633163452
V13,V2,0.019655821844935417
V9,V1,0.019680673256516457
V14,V18,0.01974136382341385
V6,V8,0.019860723987221718
V13,V19,0.019866375252604485
V19,V15,0.019882090389728546
V9,V16,0.01996093988418579
V8,V14,0.019988318905234337
V3,V14,0.020028768107295036
V1,V15,0.020070644095540047
V1,V14,0.020103594288229942
V11,V18,0.020138731226325035
V17,V2,0.020138787105679512
V15,V19,0.020144643262028694
V10,V6,0.020172903314232826
V18,V6,0.020235750824213028
V8,V15,0.02054067701101303
V5,V8,0.020569905638694763
V3,V18,0.02062295190989971
V19,V14,0.02069307677447796
V17,V14,0.02079247124493122
V14,V1,0.02082049660384655
V9,V4,0.0208313949406147
V8,V17,0.020875299349427223
V18,V5,0.02092689462006092
V4,V18,0.020992925390601158
V10,V18,0.02100454829633236
V7,V14,0.0210301261395216
V4,V1,0.021106606349349022
V17,V6,0.02122311480343342
V15,V14,0.021249843761324883
V2,V13,0.02125111036002636
V19,V1,0.021330995485186577
V9,V7,0.021392082795500755
V15,V4,0.021423084661364555
V19,V2,0.021445244550704956
V8,V3,0.021637549623847008
V19,V5,0.021668627858161926
V9,V3,0.02167290635406971
V19,V13,0.021700462326407433
V8,V2,0.021762406453490257
V13,V1,0.021806322038173676
V10,V14,0.021847322583198547
V18,V0,0.021874742582440376
V8,V13,0.021898983046412468
V13,V14,0.022016294300556183
V5,V4,0.02204269915819168
V2,V19,0.022056549787521362
V17,V4,0.022070875391364098
V3,V1,0.022078311070799828
V6,V17,0.022080590948462486
V14,V5,0.02215777151286602
V14,V13,0.02221282571554184
V15,V16,0.022257251664996147
V5,V2,0.02238687127828598
V3,V5,0.022413158789277077
V15,V7,0.022474447265267372
V18,V4,0.022484028711915016
V7,V19,0.0224886666983366
V1,V13,0.022594502195715904
V19,V17,0.022609150037169456
V16,V5,0.022710658609867096
V4,V13,0.022754639387130737
V12,V11,0.022770432755351067
V9,V17,0.022835293784737587
V10,V15,0.02305874228477478
V9,V12,0.023062244057655334
V13,V6,0.02324577234685421
V9,V0,0.02328316681087017
V13,V5,0.02330203354358673
V15,V0,0.023334508761763573
V9,V10,0.023364491760730743
V17,V0,0.02339041419327259
V6,V0,0.023519745096564293
V6,V5,0.023547925055027008
V19,V4,0.023548588156700134
V18,V1,0.023559503257274628
V5,V14,0.02357061207294464
V19,V3,0.02365693263709545
V13,V0,0.023686101660132408
V6,V3,0.023686833679676056
V11,V3,0.02368968538939953
V19,V12,0.023837270215153694
V4,V17,0.023881278932094574
V8,V5,0.023907169699668884
V3,V16,0.02392810583114624
V19,V16,0.023946115747094154
V5,V6,0.023996679112315178
V11,V12,0.02401869185268879
V0,V2,0.024154486134648323
V2,V15,0.024169810116291046
V16,V17,0.024172188714146614
V7,V5,0.024240894243121147
V11,V17,0.024295464158058167
V5,V12,0.024453425779938698
V8,V6,0.024470731616020203
