Cause,Effect
V0,V5
V1,V5
V1,V6
V0,V7
V0,V8
V1,V8
V2,V8
V3,V8
V1,V9
V2,V9
V0,V10
V1,V10
V2,V10
V3,V10
V8,V11
V1,V11
V3,V11
V7,V11
V0,V12
V4,V13
V5,V13
V7,V13
V8,V14
V2,V14
V9,V15
V10,V15
V13,V15
V6,V15
V8,V16
V2,V16
V5,V17
V7,V17
V2,V18
V6,V18
V7,V18
V8,V18
V13,V18
V5,V19
V4,V19
V15,V19
V7,V19
V13,V20
V1,V21
V10,V21
V5,V21
V17,V21
V2,V22
V15,V23
V0,V24
V10,V24
V20,V24
V10,V25
V6,V25
V2,V26
V19,V26
V13,V26
V19,V27
V2,V27
V3,V27
V15,V27
V9,V28
V24,V29
V6,V29
V7,V29
V16,V30
V11,V30
V7,V30
V2,V31
V4,V32
V12,V32
V13,V32
V23,V32
V25,V32
V1,V33
V2,V33
V19,V33
V12,V33
V14,V34
V16,V35
V3,V35
V19,V35
V6,V35
V11,V36
V3,V36
V23,V36
V11,V37
V28,V37
V14,V37
V23,V37
V0,V38
V17,V39
V3,V39
V7,V39
V8,V40
V9,V40
V19,V40
V29,V40
V27,V41
V14,V41
V0,V42
V17,V42
V35,V42
V35,V43
V6,V43
V7,V43
V13,V43
V27,V43
V25,V44
V21,V44
V1,V45
V28,V46
V36,V46
V17,V47
V3,V47
V4,V47
V2,V48
V5,V48
V5,V49
V19,V50
V11,V50
V23,V50
V29,V51
V42,V52
V29,V53
V5,V53
V46,V53
V31,V53
V52,V54
V5,V54
V30,V54
V41,V55
V11,V55
V38,V55
V23,V55
V7,V56
V49,V57
V10,V57
V27,V57
V51,V57
V41,V58
V9,V59
V15,V59
V49,V59
V52,V59
V24,V59
V34,V60
V27,V60
V13,V60
V54,V60
V0,V61
V7,V61
V10,V61
V48,V61
V27,V61
V46,V62
V16,V62
V28,V62
V14,V62
V57,V63
V25,V63
V23,V63
V56,V64
V34,V64
V20,V64
V21,V64
V16,V65
V56,V65
V42,V65
V2,V65
V54,V66
V47,V66
V32,V67
V16,V68
V19,V69
V21,V69
V14,V69
V16,V70
V49,V70
V42,V70
V19,V70
V10,V71
V60,V71
V37,V71
V15,V71
V64,V72
V36,V72
V53,V72
V14,V72
V52,V73
V10,V74
V20,V74
V14,V74
V32,V75
V4,V75
V43,V76
V68,V76
V20,V77
V33,V78
V34,V78
V38,V78
V43,V79
V7,V79
V56,V80
V58,V81
V35,V81
V63,V81
V75,V82
V23,V82
V41,V83
V35,V83
V37,V83
V71,V83
V4,V84
V78,V84
V39,V84
V6,V85
V25,V86
V2,V86
V29,V86
V55,V86
V39,V87
V82,V87
V20,V87
V54,V87
V59,V87
V61,V88
V64,V89
V72,V89
V20,V89
V85,V89
V37,V90
V40,V91
V66,V91
V74,V91
V47,V91
V65,V92
V55,V92
V38,V92
V23,V92
V26,V93
V2,V93
V78,V93
V90,V94
V84,V94
V81,V95
V51,V95
V68,V95
V60,V96
V69,V97
V87,V97
V23,V97
V39,V98
V44,V98
V47,V98
V21,V98
V59,V98
V24,V99
V69,V99
V22,V99
V7,V99
