Cause,Effect
V0,V67
V0,V96
V1,V85
V2,V90
V3,V99
V4,V29
V4,V41
V4,V62
V4,V72
V5,V42
V5,V59
V6,V75
V7,V3
V7,V23
V7,V97
V8,V75
V9,V85
V9,V91
V11,V16
V11,V25
V11,V88
V12,V9
V12,V20
V12,V38
V13,V6
V13,V34
V13,V43
V13,V56
V14,V7
V14,V82
V14,V98
V15,V1
V15,V24
V15,V26
V15,V79
V15,V98
V16,V56
V16,V68
V16,V76
V17,V76
V17,V79
V17,V99
V18,V11
V18,V93
V19,V58
V19,V77
V20,V5
V20,V6
V20,V22
V20,V71
V20,V88
V21,V64
V21,V79
V22,V39
V22,V78
V23,V32
V23,V41
V23,V54
V23,V60
V23,V76
V23,V79
V24,V2
V24,V43
V24,V56
V24,V81
V25,V27
V25,V29
V25,V83
V26,V25
V26,V46
V26,V68
V27,V23
V27,V29
V27,V72
V28,V31
V28,V46
V28,V56
V28,V74
V28,V81
V29,V27
V30,V6
V30,V13
V30,V57
V30,V72
V31,V95
V31,V96
V31,V97
V31,V99
V32,V46
V32,V51
V32,V53
V32,V68
V33,V32
V33,V77
V34,V41
V35,V16
V35,V55
V36,V29
V36,V85
V37,V9
V37,V78
V37,V95
V40,V84
V41,V20
V41,V90
V42,V8
V42,V24
V42,V28
V42,V95
V43,V42
V43,V56
V43,V74
V45,V33
V45,V57
V45,V74
V45,V78
V46,V0
V46,V32
V46,V51
V46,V79
V47,V25
V47,V27
V47,V36
V48,V9
V48,V32
V50,V26
V50,V46
V51,V2
V51,V5
V51,V50
V52,V7
V52,V50
V52,V83
V53,V87
V54,V40
V54,V42
V54,V61
V54,V72
V56,V42
V57,V2
V57,V16
V57,V46
V57,V55
V57,V63
V57,V86
V58,V99
V59,V34
V59,V74
V60,V35
V60,V40
V60,V59
V60,V74
V61,V6
V61,V31
V61,V33
V61,V58
V61,V95
V61,V98
V62,V18
V62,V38
V62,V43
V62,V86
V63,V18
V63,V86
V64,V31
V64,V43
V64,V77
V66,V5
V66,V45
V66,V55
V66,V73
V68,V33
V68,V36
V69,V96
V70,V57
V71,V63
V72,V12
V73,V77
V74,V0
V74,V9
V74,V12
V74,V13
V75,V22
V76,V5
V76,V13
V76,V38
V76,V57
V76,V82
V76,V83
V77,V11
V77,V30
V77,V32
V77,V38
V77,V58
V77,V60
V77,V76
V78,V7
V78,V31
V79,V89
V80,V3
V80,V78
V80,V93
V81,V83
V82,V13
V82,V16
V82,V23
V83,V3
V83,V97
V84,V9
V84,V81
V84,V86
V85,V31
V85,V93
V87,V27
V87,V71
V87,V76
V88,V42
V88,V58
V88,V90
V89,V6
V89,V20
V89,V60
V89,V68
V89,V83
V89,V97
V90,V20
V90,V25
V90,V82
V91,V75
V91,V97
V92,V24
V92,V45
V92,V48
V93,V2
V93,V13
V93,V17
V94,V24
V94,V43
V95,V61
V95,V62
V96,V75
V97,V24
V97,V68
V97,V90
V98,V30
V98,V86
V99,V61
